timestamp,git_commit,method,base_ot_mode,p,base_field_bits,base_coordinate_storage_bits,lambda,logN,N,t,m,trial_index,warmup,status,data_source,correctness,network,split_input_setup_ms,pprf_key_setup_ms,pprf_full_eval_p0_ms,pprf_full_eval_p1_ms,wht_p0_ms,wht_p1_ms,pointwise_p0_ms,pointwise_p1_ms,output_materialization_p0_ms,output_materialization_p1_ms,setup_wall_ms,expand_wall_ms,total_wall_ms,local_expand_p0_ms,local_expand_p1_ms,total_cpu_work_ms,p0_peak_rss_bytes,p1_peak_rss_bytes,max_party_peak_rss_bytes,sum_party_peak_rss_bytes,pprf_instances,split_input_noisy_svole_length,pprf_domain_size,pprf_point_count,pprf_leaves_per_sparse_polynomial,notes,check,result
2026-07-23T01:21:02.507982+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,32,-1,1,OK,measured,PASS,tcp-loopback,412.954,158.07299999999998,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,484.192,12.4,496.281,12.4,12.089,595.5160000000001,68194304,68194304,68194304,136388608,2,128,256,64,16384,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,all_N_times_m_coordinates,PASS
2026-07-23T01:21:03.379603+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,32,0,0,OK,measured,PASS,tcp-loopback,410.292,159.188,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,482.432,12.304,494.399,12.304,11.968,593.752,68194304,68194304,68194304,136388608,2,128,256,64,16384,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,all_N_times_m_coordinates,PASS
2026-07-23T01:21:04.249197+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,32,-1,1,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
2026-07-23T01:21:04.249235+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,14,16384,64,32,0,0,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
2026-07-23T01:21:04.249244+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,8,-1,1,OK,measured,PASS,tcp-loopback,72.145,93.474,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,156.199,13.847,168.97799999999998,13.847,12.779,192.245,68194304,68194304,68194304,136388608,2,128,1024,64,65536,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,all_N_times_m_coordinates,PASS
2026-07-23T01:21:04.791935+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,8,0,0,OK,measured,PASS,tcp-loopback,72.086,105.561,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,168.243,13.934999999999999,181.106,13.934999999999999,12.863,204.445,68194304,68194304,68194304,136388608,2,128,1024,64,65536,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,all_N_times_m_coordinates,PASS
2026-07-23T01:21:05.347367+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,8,-1,1,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
2026-07-23T01:21:05.347405+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_COORD,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,8,0,0,SKIPPED_NOT_IMPLEMENTED,skipped,SKIPPED,,,,,,,,,,,,,,,,,,,,,,,,,,,No integrated setup-inclusive RM_COORD TCP/local end-to-end harness exists in this checkout; coordinate PPRF is available only as an isolated component/local semantic ablation.,rm_coord_integrated_harness,SKIPPED
2026-07-23T01:21:05.347412+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,16,-1,1,OK,measured,PASS,tcp-loopback,179.315,132.155,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,276.15000000000003,26.455,301.579,26.455,25.429,363.354,68194304,68194304,68194304,136388608,2,128,1024,64,65536,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,all_N_times_m_coordinates,PASS
2026-07-23T01:21:06.038915+00:00,92541e97835cdf7b1979ebdd41e34c666bf3206e,RM_VECTOR,INCLUDING_BASE_OT,2305843009213693951,61,64,128,16,65536,64,16,0,0,OK,measured,PASS,tcp-loopback,179.559,158.066,0,0,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,included_in_expand_p0,included_in_expand_p1,302.118,26.41,327.5,26.41,25.381999999999998,389.41700000000003,68194304,68194304,68194304,136388608,2,128,1024,64,65536,tcp_two_process_loopback; p0_server_p1_client; tcp_two_process;,all_N_times_m_coordinates,PASS
