method,logN,m,metric,count,median,mean,stddev,min,max,p25,p75
VECTOR_PPRF,16,8,key_setup_wall_ms,1,139.33,139.33,0.0,139.33,139.33,139.33,139.33
VECTOR_PPRF,16,8,setup_communication_bytes,1,113408.0,113408.0,0.0,113408.0,113408.0,113408.0,113408.0
VECTOR_PPRF,16,8,total_cpu_work_ms,1,139.33,139.33,0.0,139.33,139.33,139.33,139.33
VECTOR_PPRF,16,16,key_setup_wall_ms,1,156.53,156.53,0.0,156.53,156.53,156.53,156.53
VECTOR_PPRF,16,16,setup_communication_bytes,1,146176.0,146176.0,0.0,146176.0,146176.0,146176.0,146176.0
VECTOR_PPRF,16,16,total_cpu_work_ms,1,156.53,156.53,0.0,156.53,156.53,156.53,156.53
VECTOR_PPRF,16,32,key_setup_wall_ms,1,197.70399999999998,197.70399999999998,0.0,197.70399999999998,197.70399999999998,197.70399999999998,197.70399999999998
VECTOR_PPRF,16,32,setup_communication_bytes,1,211712.0,211712.0,0.0,211712.0,211712.0,211712.0,211712.0
VECTOR_PPRF,16,32,total_cpu_work_ms,1,197.70399999999998,197.70399999999998,0.0,197.70399999999998,197.70399999999998,197.70399999999998,197.70399999999998
VECTOR_PPRF,18,8,key_setup_wall_ms,1,229.25,229.25,0.0,229.25,229.25,229.25,229.25
VECTOR_PPRF,18,8,setup_communication_bytes,1,130304.0,130304.0,0.0,130304.0,130304.0,130304.0,130304.0
VECTOR_PPRF,18,8,total_cpu_work_ms,1,229.25,229.25,0.0,229.25,229.25,229.25,229.25
VECTOR_PPRF,18,16,key_setup_wall_ms,1,306.025,306.025,0.0,306.025,306.025,306.025,306.025
VECTOR_PPRF,18,16,setup_communication_bytes,1,163072.0,163072.0,0.0,163072.0,163072.0,163072.0,163072.0
VECTOR_PPRF,18,16,total_cpu_work_ms,1,306.025,306.025,0.0,306.025,306.025,306.025,306.025
VECTOR_PPRF,18,32,key_setup_wall_ms,1,457.262,457.262,0.0,457.262,457.262,457.262,457.262
VECTOR_PPRF,18,32,setup_communication_bytes,1,228608.0,228608.0,0.0,228608.0,228608.0,228608.0,228608.0
VECTOR_PPRF,18,32,total_cpu_work_ms,1,457.262,457.262,0.0,457.262,457.262,457.262,457.262
VECTOR_PPRF,20,8,key_setup_wall_ms,1,512.5079999999999,512.5079999999999,0.0,512.5079999999999,512.5079999999999,512.5079999999999,512.5079999999999
VECTOR_PPRF,20,8,setup_communication_bytes,1,147200.0,147200.0,0.0,147200.0,147200.0,147200.0,147200.0
VECTOR_PPRF,20,8,total_cpu_work_ms,1,512.5079999999999,512.5079999999999,0.0,512.5079999999999,512.5079999999999,512.5079999999999,512.5079999999999
VECTOR_PPRF,20,16,key_setup_wall_ms,1,822.225,822.225,0.0,822.225,822.225,822.225,822.225
VECTOR_PPRF,20,16,setup_communication_bytes,1,179968.0,179968.0,0.0,179968.0,179968.0,179968.0,179968.0
VECTOR_PPRF,20,16,total_cpu_work_ms,1,822.225,822.225,0.0,822.225,822.225,822.225,822.225
VECTOR_PPRF,20,32,key_setup_wall_ms,1,1475.959,1475.959,0.0,1475.959,1475.959,1475.959,1475.959
VECTOR_PPRF,20,32,setup_communication_bytes,1,245504.0,245504.0,0.0,245504.0,245504.0,245504.0,245504.0
VECTOR_PPRF,20,32,total_cpu_work_ms,1,1475.959,1475.959,0.0,1475.959,1475.959,1475.959,1475.959
