timestamp,benchmark_source_commit,method,base_ot_mode,p,base_field_bits,base_coordinate_storage_bits,lambda,c,logN,N,t,domainSize,m,trial_index,warmup,status,data_source,correctness,check,result,vector_pprf_instances,coordinate_pprf_instances,split_input_noisy_svole_length,same_sampled_instance,notes
2026-07-24T02:41:04.463795+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,DIRECT_NOISY_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,16,65536,,,8,,,OK,measured,,,PASS,,,,,TCP two-process correctness; x=c; Z0=a; Z1=-b
2026-07-24T02:42:35.472050+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,12,4096,,,8,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
2026-07-24T02:42:42.372800+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,12,4096,,,16,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
2026-07-24T02:42:51.988889+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,12,4096,,,32,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
2026-07-24T02:43:07.943118+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,14,16384,,,8,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
2026-07-24T02:43:16.178440+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,14,16384,,,16,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
2026-07-24T02:43:26.876933+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,14,16384,,,32,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
2026-07-24T02:43:43.951263+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,16,65536,,,8,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
2026-07-24T02:43:53.851009+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,16,65536,,,16,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
2026-07-24T02:44:05.968021+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,16,65536,,,32,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
2026-07-24T02:44:23.389978+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,18,262144,,,8,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
2026-07-24T02:44:36.946304+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,18,262144,,,16,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
2026-07-24T02:44:54.327745+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,18,262144,,,32,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
2026-07-24T02:45:18.473254+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,20,1048576,,,8,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
2026-07-24T02:45:46.358258+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,20,1048576,,,16,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
2026-07-24T02:46:26.343949+00:00,562e21bc6bf16bfc32ac3e2d6f21719f28965a23,SILENT_SVOLE,INCLUDING_BASE_OT,2305843009213693951,,,128,,20,1048576,,,32,,,OK,measured,,,PASS,,,,,TCP two-process correctness; shared Delta; single base vector x; all coordinates mod p
