method,base_ot_mode,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
VECTOR_PPRF,INCLUDING_OT,12,8,key_setup_wall_ms,10,73.348,73.7792,1.4744708881493733,72.934,73.80850000000001,72.715,77.727
VECTOR_PPRF,INCLUDING_OT,12,8,pprf_only_time_ms,10,73.348,73.7792,1.4744708881493733,72.934,73.80850000000001,72.715,77.727
VECTOR_PPRF,INCLUDING_OT,12,8,pprf_setup_bytes,10,79616.0,79616.0,0.0,79616.0,79616.0,79616.0,79616.0
VECTOR_PPRF,INCLUDING_OT,12,8,total_comm_bytes,10,79616.0,79616.0,0.0,79616.0,79616.0,79616.0,79616.0
VECTOR_PPRF,INCLUDING_OT,12,16,key_setup_wall_ms,10,74.366,74.4147,0.2819184476246798,74.298,74.6245,73.891,74.847
VECTOR_PPRF,INCLUDING_OT,12,16,pprf_only_time_ms,10,74.366,74.4147,0.2819184476246798,74.298,74.6245,73.891,74.847
VECTOR_PPRF,INCLUDING_OT,12,16,pprf_setup_bytes,10,112384.0,112384.0,0.0,112384.0,112384.0,112384.0,112384.0
VECTOR_PPRF,INCLUDING_OT,12,16,total_comm_bytes,10,112384.0,112384.0,0.0,112384.0,112384.0,112384.0,112384.0
VECTOR_PPRF,INCLUDING_OT,12,32,key_setup_wall_ms,10,76.195,76.3829,0.6748449122246969,75.84525,76.9595,75.565,77.494
VECTOR_PPRF,INCLUDING_OT,12,32,pprf_only_time_ms,10,76.195,76.3829,0.6748449122246969,75.84525,76.9595,75.565,77.494
VECTOR_PPRF,INCLUDING_OT,12,32,pprf_setup_bytes,10,177920.0,177920.0,0.0,177920.0,177920.0,177920.0,177920.0
VECTOR_PPRF,INCLUDING_OT,12,32,total_comm_bytes,10,177920.0,177920.0,0.0,177920.0,177920.0,177920.0,177920.0
VECTOR_PPRF,INCLUDING_OT,14,8,key_setup_wall_ms,10,100.52349999999998,100.2629,0.7115464301240074,99.56275,100.85175,99.30600000000001,101.14099999999999
VECTOR_PPRF,INCLUDING_OT,14,8,pprf_only_time_ms,10,100.52349999999998,100.2629,0.7115464301240074,99.56275,100.85175,99.30600000000001,101.14099999999999
VECTOR_PPRF,INCLUDING_OT,14,8,pprf_setup_bytes,10,96512.0,96512.0,0.0,96512.0,96512.0,96512.0,96512.0
VECTOR_PPRF,INCLUDING_OT,14,8,total_comm_bytes,10,96512.0,96512.0,0.0,96512.0,96512.0,96512.0,96512.0
VECTOR_PPRF,INCLUDING_OT,14,16,key_setup_wall_ms,10,104.9185,104.9942,0.5928432058029088,104.57325,105.43325,104.105,106.07600000000001
VECTOR_PPRF,INCLUDING_OT,14,16,pprf_only_time_ms,10,104.9185,104.9942,0.5928432058029088,104.57325,105.43325,104.105,106.07600000000001
VECTOR_PPRF,INCLUDING_OT,14,16,pprf_setup_bytes,10,129280.0,129280.0,0.0,129280.0,129280.0,129280.0,129280.0
VECTOR_PPRF,INCLUDING_OT,14,16,total_comm_bytes,10,129280.0,129280.0,0.0,129280.0,129280.0,129280.0,129280.0
VECTOR_PPRF,INCLUDING_OT,14,32,key_setup_wall_ms,10,112.04849999999999,112.2393,0.5935535265575382,111.82625,112.73400000000001,111.539,113.135
VECTOR_PPRF,INCLUDING_OT,14,32,pprf_only_time_ms,10,112.04849999999999,112.2393,0.5935535265575382,111.82625,112.73400000000001,111.539,113.135
VECTOR_PPRF,INCLUDING_OT,14,32,pprf_setup_bytes,10,194816.0,194816.0,0.0,194816.0,194816.0,194816.0,194816.0
VECTOR_PPRF,INCLUDING_OT,14,32,total_comm_bytes,10,194816.0,194816.0,0.0,194816.0,194816.0,194816.0,194816.0
VECTOR_PPRF,INCLUDING_OT,16,8,key_setup_wall_ms,10,139.43349999999998,139.6539,1.0193800349013866,138.87225,140.59475,138.373,141.184
VECTOR_PPRF,INCLUDING_OT,16,8,pprf_only_time_ms,10,139.43349999999998,139.6539,1.0193800349013866,138.87225,140.59475,138.373,141.184
VECTOR_PPRF,INCLUDING_OT,16,8,pprf_setup_bytes,10,113408.0,113408.0,0.0,113408.0,113408.0,113408.0,113408.0
VECTOR_PPRF,INCLUDING_OT,16,8,total_comm_bytes,10,113408.0,113408.0,0.0,113408.0,113408.0,113408.0,113408.0
VECTOR_PPRF,INCLUDING_OT,16,16,key_setup_wall_ms,10,156.75400000000002,157.80610000000001,2.2819700772212888,156.5555,159.14225,155.447,161.573
VECTOR_PPRF,INCLUDING_OT,16,16,pprf_only_time_ms,10,156.75400000000002,157.80610000000001,2.2819700772212888,156.5555,159.14225,155.447,161.573
VECTOR_PPRF,INCLUDING_OT,16,16,pprf_setup_bytes,10,146176.0,146176.0,0.0,146176.0,146176.0,146176.0,146176.0
VECTOR_PPRF,INCLUDING_OT,16,16,total_comm_bytes,10,146176.0,146176.0,0.0,146176.0,146176.0,146176.0,146176.0
VECTOR_PPRF,INCLUDING_OT,16,32,key_setup_wall_ms,10,196.89249999999998,196.6842,1.2389870235173805,196.10725000000002,197.315,194.37699999999998,198.526
VECTOR_PPRF,INCLUDING_OT,16,32,pprf_only_time_ms,10,196.89249999999998,196.6842,1.2389870235173805,196.10725000000002,197.315,194.37699999999998,198.526
VECTOR_PPRF,INCLUDING_OT,16,32,pprf_setup_bytes,10,211712.0,211712.0,0.0,211712.0,211712.0,211712.0,211712.0
VECTOR_PPRF,INCLUDING_OT,16,32,total_comm_bytes,10,211712.0,211712.0,0.0,211712.0,211712.0,211712.0,211712.0
VECTOR_PPRF,INCLUDING_OT,18,8,key_setup_wall_ms,10,228.05399999999997,228.1025,1.2045310060120675,227.57899999999998,228.4305,226.223,230.494
VECTOR_PPRF,INCLUDING_OT,18,8,pprf_only_time_ms,10,228.05399999999997,228.1025,1.2045310060120675,227.57899999999998,228.4305,226.223,230.494
VECTOR_PPRF,INCLUDING_OT,18,8,pprf_setup_bytes,10,130304.0,130304.0,0.0,130304.0,130304.0,130304.0,130304.0
VECTOR_PPRF,INCLUDING_OT,18,8,total_comm_bytes,10,130304.0,130304.0,0.0,130304.0,130304.0,130304.0,130304.0
VECTOR_PPRF,INCLUDING_OT,18,16,key_setup_wall_ms,10,306.09900000000005,306.1063,1.0800066923660963,305.4655,306.64075,304.34,307.993
VECTOR_PPRF,INCLUDING_OT,18,16,pprf_only_time_ms,10,306.09900000000005,306.1063,1.0800066923660963,305.4655,306.64075,304.34,307.993
VECTOR_PPRF,INCLUDING_OT,18,16,pprf_setup_bytes,10,163072.0,163072.0,0.0,163072.0,163072.0,163072.0,163072.0
VECTOR_PPRF,INCLUDING_OT,18,16,total_comm_bytes,10,163072.0,163072.0,0.0,163072.0,163072.0,163072.0,163072.0
VECTOR_PPRF,INCLUDING_OT,18,32,key_setup_wall_ms,10,465.947,465.37199999999996,2.239624720547814,464.1935,467.13149999999996,461.18399999999997,468.147
VECTOR_PPRF,INCLUDING_OT,18,32,pprf_only_time_ms,10,465.947,465.37199999999996,2.239624720547814,464.1935,467.13149999999996,461.18399999999997,468.147
VECTOR_PPRF,INCLUDING_OT,18,32,pprf_setup_bytes,10,228608.0,228608.0,0.0,228608.0,228608.0,228608.0,228608.0
VECTOR_PPRF,INCLUDING_OT,18,32,total_comm_bytes,10,228608.0,228608.0,0.0,228608.0,228608.0,228608.0,228608.0
VECTOR_PPRF,INCLUDING_OT,20,8,key_setup_wall_ms,10,521.4825,521.4634,2.658340091945444,520.32825,522.6405000000001,517.77,526.2
VECTOR_PPRF,INCLUDING_OT,20,8,pprf_only_time_ms,10,521.4825,521.4634,2.658340091945444,520.32825,522.6405000000001,517.77,526.2
VECTOR_PPRF,INCLUDING_OT,20,8,pprf_setup_bytes,10,147200.0,147200.0,0.0,147200.0,147200.0,147200.0,147200.0
VECTOR_PPRF,INCLUDING_OT,20,8,total_comm_bytes,10,147200.0,147200.0,0.0,147200.0,147200.0,147200.0,147200.0
VECTOR_PPRF,INCLUDING_OT,20,16,key_setup_wall_ms,10,844.4069999999999,845.9162,4.317132994116473,843.296,848.30025,840.4639999999999,853.388
VECTOR_PPRF,INCLUDING_OT,20,16,pprf_only_time_ms,10,844.4069999999999,845.9162,4.317132994116473,843.296,848.30025,840.4639999999999,853.388
VECTOR_PPRF,INCLUDING_OT,20,16,pprf_setup_bytes,10,179968.0,179968.0,0.0,179968.0,179968.0,179968.0,179968.0
VECTOR_PPRF,INCLUDING_OT,20,16,total_comm_bytes,10,179968.0,179968.0,0.0,179968.0,179968.0,179968.0,179968.0
VECTOR_PPRF,INCLUDING_OT,20,32,key_setup_wall_ms,10,1512.938,1514.0249,5.405098589911777,1510.3575,1516.46075,1508.219,1526.54
VECTOR_PPRF,INCLUDING_OT,20,32,pprf_only_time_ms,10,1512.938,1514.0249,5.405098589911777,1510.3575,1516.46075,1508.219,1526.54
VECTOR_PPRF,INCLUDING_OT,20,32,pprf_setup_bytes,10,245504.0,245504.0,0.0,245504.0,245504.0,245504.0,245504.0
VECTOR_PPRF,INCLUDING_OT,20,32,total_comm_bytes,10,245504.0,245504.0,0.0,245504.0,245504.0,245504.0,245504.0
