timestamp,benchmark_source_commit,method,base_ot_mode,p,base_field_bits,base_coordinate_storage_bits,lambda,c,logN,N,t,domainSize,m,trial_index,warmup,status,data_source,correctness,pprf_instance_count,consumed_ot_count,base_ot_protocol_invocations,ot_generation_time_ms,ot_communication_bytes,pprf_only_time_ms,key_setup_wall_ms,pprf_setup_bytes,pprf_payload_bytes,total_comm_bytes,p0_peak_rss_bytes,p1_peak_rss_bytes,notes
2026-07-23T08:50:35.359990+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,0,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,74.298,74.298,112384,112384,112384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:35.438721+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,1,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,74.196,74.196,112384,112384,112384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:35.516901+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,2,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,74.333,74.333,112384,112384,112384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:35.595403+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,3,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,74.399,74.399,112384,112384,112384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:35.674002+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,4,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,74.298,74.298,112384,112384,112384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:35.752621+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,5,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,73.891,73.891,112384,112384,112384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:35.831852+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,6,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,74.673,74.673,112384,112384,112384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:35.911870+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,7,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,74.479,74.479,112384,112384,112384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:35.990872+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,8,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,74.73299999999999,74.73299999999999,112384,112384,112384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
2026-07-23T08:50:36.070251+00:00,b33a10fa7851ba0c3a26bea531ffb004f00d9365,VECTOR_PPRF,INCLUDING_OT,2305843009213693951,61,64,128,2,12,4096,64,64,16,9,0,OK,measured,PASS,2,2,2,0.0,included_in_pprf_setup_bytes,74.847,74.847,112384,112384,112384,76161024,76161024,C++ RegularPprf setup harness using DefaultBaseOT.
