method,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
RM_COORD,20,16,pprf_key_setup_ms,10,2293.283,2294.6779,7.374590451152107,2289.8827499999998,2298.2467500000002,2283.6789999999996,2306.85
RM_COORD,20,16,setup_wall_ms,10,2642.6005,2645.3055,6.787614132455695,2642.226,2649.42275,2636.644,2656.0730000000003
RM_COORD,20,16,expand_wall_ms,10,690.733,690.4654,3.1511479107708618,687.88,691.2145,686.466,695.451
RM_COORD,20,16,total_wall_ms,10,3318.923,3322.1403999999998,10.19222517630202,3315.1155,3327.612,3309.798,3339.082
RM_COORD,20,16,total_cpu_work_ms,10,4052.4565,4057.4829,13.778685023938028,4050.5715,4064.2035,4037.9179999999997,4080.576
RM_COORD,20,32,split_input_setup_ms,10,647.961,647.8074,2.8611353690449484,646.92025,650.073,641.721,651.241
RM_COORD,20,32,pprf_key_setup_ms,10,4613.0865,4609.6667,13.208144508008901,4598.647,4617.18425,4588.666,4630.045
RM_COORD,20,32,setup_wall_ms,10,5154.924,5155.7055,11.79662915365611,5149.79025,5163.7117499999995,5138.312,5176.549
RM_COORD,20,32,expand_wall_ms,10,1443.4995,1454.3014,31.641761968779303,1437.87525,1449.0965,1435.792,1539.3509999999999
RM_COORD,20,32,total_wall_ms,10,6574.982,6582.3091,33.72599660812282,6571.40725,6582.326499999999,6538.117,6659.201
RM_COORD,20,32,total_cpu_work_ms,10,8121.0740000000005,8138.3793000000005,64.41848623743186,8110.1804999999995,8125.4635,8071.945000000001,8301.445
RM_VECTOR,12,8,split_input_setup_ms,10,57.9905,57.917,0.42804205400871664,57.53274999999999,58.2555,57.332,58.562000000000005
RM_VECTOR,12,8,pprf_key_setup_ms,10,55.649,55.6312,0.14958817540909436,55.5565,55.768,55.35,55.778
RM_VECTOR,12,8,setup_wall_ms,10,103.9865,103.9402,0.4321627265535813,103.57075,104.2545,103.28099999999999,104.58000000000001
RM_VECTOR,12,8,expand_wall_ms,10,0.743,0.7427,0.014598706183159579,0.7387500000000001,0.7465,0.716,0.7739999999999999
RM_VECTOR,12,8,total_wall_ms,10,104.747,104.6679,0.43317136716700977,104.285,104.97125,104.03,105.30000000000001
RM_VECTOR,12,8,total_cpu_work_ms,10,115.0615,115.0167,0.46841388393883826,114.57600000000001,115.32174999999998,114.424,115.70600000000002
RM_VECTOR,12,16,split_input_setup_ms,10,166.5815,166.6697,0.6741856074801172,166.22225,167.04625000000001,165.667,168.031
RM_VECTOR,12,16,pprf_key_setup_ms,10,83.3735,83.3612,0.30829740331194583,83.17375000000001,83.45450000000001,82.94200000000001,84.07900000000001
RM_VECTOR,12,16,setup_wall_ms,10,213.16199999999998,213.2987,0.7719670473681081,212.86925,213.60925,212.27499999999998,214.98000000000002
RM_VECTOR,12,16,expand_wall_ms,10,1.4115000000000002,1.4199000000000002,0.025536248745655587,1.4042500000000002,1.4145,1.4020000000000001,1.478
RM_VECTOR,12,16,total_wall_ms,10,214.5425,214.6931,0.7781178788161429,214.27024999999998,215.00275,213.664,216.39
RM_VECTOR,12,16,total_cpu_work_ms,10,252.78000000000003,252.8453,0.9470570849860165,252.16275000000002,253.1705,251.61100000000002,254.935
RM_VECTOR,12,32,split_input_setup_ms,10,419.83,419.8164,0.7390638523008399,419.26075,420.32775000000004,418.625,421.00399999999996
RM_VECTOR,12,32,pprf_key_setup_ms,10,143.186,143.0698,0.46703789996102185,142.76149999999998,143.4785,142.266,143.619
RM_VECTOR,12,32,setup_wall_ms,10,469.4095,469.3496,0.7607305260953694,468.736,469.91525,468.218,470.46900000000005
RM_VECTOR,12,32,expand_wall_ms,10,2.833,2.8259,0.015912608557716437,2.8145,2.8347499999999997,2.794,2.8449999999999998
RM_VECTOR,12,32,total_wall_ms,10,472.16999999999996,472.11879999999996,0.7512438278541003,471.50025,472.6825,471.024,473.226
RM_VECTOR,12,32,total_cpu_work_ms,10,568.315,568.4812,0.9136847012691077,567.8555,569.18625,567.096,569.7379999999998
RM_VECTOR,14,8,split_input_setup_ms,10,58.0065,57.9557,0.256094622269886,57.726,58.06150000000001,57.647999999999996,58.467
RM_VECTOR,14,8,pprf_key_setup_ms,10,76.05250000000001,76.103,0.26353831684300566,75.93975,76.20575,75.80499999999999,76.715
RM_VECTOR,14,8,setup_wall_ms,10,126.56300000000002,126.5646,0.405928072446336,126.22975,126.88949999999998,126.053,127.217
RM_VECTOR,14,8,expand_wall_ms,10,3.3005000000000004,3.3098,0.057447173801482974,3.27,3.321,3.2529999999999997,3.4520000000000004
RM_VECTOR,14,8,total_wall_ms,10,129.924,129.8743,0.4359931319540649,129.48674999999997,130.21050000000002,129.323,130.55700000000002
RM_VECTOR,14,8,total_cpu_work_ms,10,140.47700000000003,140.4058,0.4639954022760771,140.07999999999998,140.66275,139.787,141.30100000000002
RM_VECTOR,14,16,split_input_setup_ms,10,166.43599999999998,166.3191,0.7173199270742243,165.70675,166.6495,165.328,167.64399999999998
RM_VECTOR,14,16,pprf_key_setup_ms,10,110.5435,111.0334,1.7475490264939624,110.36525,110.78575000000001,109.8,115.826
RM_VECTOR,14,16,setup_wall_ms,10,241.167,241.3295,1.6612278089814618,240.27425000000002,241.4605,239.898,245.562
RM_VECTOR,14,16,expand_wall_ms,10,6.301,6.3003,0.013081369279331035,6.291,6.30825,6.276999999999999,6.321000000000001
RM_VECTOR,14,16,total_wall_ms,10,247.47250000000003,247.6299,1.6659811556890713,246.57525,247.7575,246.175,251.868
RM_VECTOR,14,16,total_cpu_work_ms,10,289.2795,289.6403,2.3882682731310596,288.34325,289.47200000000004,287.589,295.895
RM_VECTOR,14,32,split_input_setup_ms,10,420.05600000000004,420.2311,0.7079189297589921,419.65175,420.80800000000005,419.474,421.42
RM_VECTOR,14,32,pprf_key_setup_ms,10,178.2205,177.8346,2.2707226554068134,177.096,178.729,172.81,181.808
RM_VECTOR,14,32,setup_wall_ms,10,495.7595,495.8486,0.6484247921780208,495.36025,496.353,494.95099999999996,496.955
RM_VECTOR,14,32,expand_wall_ms,10,12.359,12.3651,0.03266819724305448,12.338750000000001,12.3785,12.33,12.42
RM_VECTOR,14,32,total_wall_ms,10,507.9045,508.0025,0.6555137510211055,507.5155,508.49549999999994,507.116,509.10999999999996
RM_VECTOR,14,32,total_cpu_work_ms,10,622.5285000000001,622.5849000000001,1.9771422390240982,622.193,622.9482500000001,618.2810000000001,626.4559999999999
RM_VECTOR,16,8,split_input_setup_ms,10,61.8015,61.7606,1.8491910663855144,60.91375,62.507,57.918,64.539
RM_VECTOR,16,8,pprf_key_setup_ms,10,109.904,109.5154,1.9873658277562658,107.76925,110.79775000000001,106.282,112.02900000000001
RM_VECTOR,16,8,setup_wall_ms,10,157.555,157.0828,2.336419473372786,155.0215,158.70650000000003,153.577,160.767
RM_VECTOR,16,8,expand_wall_ms,10,13.921,14.015,0.2857259759513183,13.856750000000002,14.017,13.731,14.622
RM_VECTOR,16,8,total_wall_ms,10,171.49349999999998,171.0979,2.2358817524885186,169.45925,172.65550000000002,167.574,174.63500000000002
RM_VECTOR,16,8,total_cpu_work_ms,10,198.726,198.33939999999998,3.1552850971733837,195.377,199.8165,194.648,203.43699999999998
RM_VECTOR,16,16,split_input_setup_ms,10,171.7495,171.4566,1.4295253446900174,171.0005,172.3035,168.076,172.995
RM_VECTOR,16,16,pprf_key_setup_ms,10,149.83550000000002,150.23430000000002,2.0041871752242413,149.3175,151.784,146.132,152.786
RM_VECTOR,16,16,setup_wall_ms,10,275.7235,275.6641,2.0924096927280336,274.09825,277.53125,272.57,278.00399999999996
RM_VECTOR,16,16,expand_wall_ms,10,26.725499999999997,26.7503,0.10989798299635235,26.671,26.79125,26.610000000000003,26.955
RM_VECTOR,16,16,total_wall_ms,10,302.45399999999995,302.317,2.289014149754821,300.96675000000005,304.33975000000004,298.207,304.765
RM_VECTOR,16,16,total_cpu_work_ms,10,373.802,374.2028,3.1079465103362276,373.22925,377.12724999999995,369.194,377.582
RM_VECTOR,16,32,split_input_setup_ms,10,424.616,424.26279999999997,2.5123061030765133,423.26275,425.51124999999996,420.237,428.318
RM_VECTOR,16,32,pprf_key_setup_ms,10,231.8635,231.9666,2.3166049967810896,230.15475000000004,232.70100000000002,229.814,237.4
RM_VECTOR,16,32,setup_wall_ms,10,553.95,552.7654,3.800972220659122,551.47925,554.36325,546.2869999999999,558.698
RM_VECTOR,16,32,expand_wall_ms,10,53.019000000000005,53.1305,0.2758555378776681,52.927749999999996,53.32525,52.839999999999996,53.662
RM_VECTOR,16,32,total_wall_ms,10,605.9570000000001,605.0119,3.8173601829885913,603.5559999999999,606.5712499999998,598.622,611.125
RM_VECTOR,16,32,total_cpu_work_ms,10,762.6025,761.6064,3.8969103202979425,759.3855,763.467,755.6859999999999,768.219
RM_VECTOR,18,8,split_input_setup_ms,10,109.2385,108.2062,3.290559114936077,108.00475,109.93125,99.315,110.71000000000001
RM_VECTOR,18,8,pprf_key_setup_ms,10,167.8485,167.6901,2.5554408382464615,165.92600000000002,169.84025,163.88400000000001,170.829
RM_VECTOR,18,8,setup_wall_ms,10,255.4225,254.6909,2.5315532978785993,255.2025,255.62775,247.528,256.038
RM_VECTOR,18,8,expand_wall_ms,10,70.8375,70.7492,0.2641021687823798,70.5815,70.89975000000001,70.241,71.09100000000001
RM_VECTOR,18,8,total_wall_ms,10,320.783,320.0695,2.6719571374639512,320.41675000000004,321.1895,312.61499999999995,321.85
RM_VECTOR,18,8,total_cpu_work_ms,10,412.6385,412.0241,2.7543611661024645,410.76725,413.9577499999999,405.71299999999997,414.856
RM_VECTOR,18,16,split_input_setup_ms,10,217.9245,217.8854,1.816827161106231,217.23174999999998,218.924,214.31,220.932
RM_VECTOR,18,16,pprf_key_setup_ms,10,236.64249999999998,237.3367,2.1452219284312277,235.75975,239.10649999999998,234.38500000000002,240.531
RM_VECTOR,18,16,setup_wall_ms,10,406.70950000000005,405.68690000000004,3.329428861598403,403.89675,407.35725,398.47700000000003,410.646
RM_VECTOR,18,16,expand_wall_ms,10,150.462,150.47729999999999,0.4158602997268352,150.21925,150.669,149.778,151.31300000000002
RM_VECTOR,18,16,total_wall_ms,10,551.366,550.3115,3.5845791710231922,548.97975,551.6755,542.381,555.593
RM_VECTOR,18,16,total_cpu_work_ms,10,751.2574999999999,750.324,3.546075075974075,748.56475,753.089,743.584,754.1569999999999
RM_VECTOR,18,32,split_input_setup_ms,10,470.83299999999997,470.6236,1.4980140334604541,470.03650000000005,471.509,468.082,472.66200000000003
RM_VECTOR,18,32,pprf_key_setup_ms,10,367.9335,368.8076,4.245480739693796,366.40675,369.78125,364.12600000000003,377.229
RM_VECTOR,18,32,setup_wall_ms,10,740.7745,740.4594999999999,3.055992410185459,738.2275000000001,742.6937499999999,736.001,745.522
RM_VECTOR,18,32,expand_wall_ms,10,294.577,294.6356,0.7427809906021906,294.14500000000004,295.08975,293.598,295.94599999999997
RM_VECTOR,18,32,total_wall_ms,10,1030.158,1030.396,3.547079455928014,1027.81075,1032.365,1025.506,1036.606
RM_VECTOR,18,32,total_cpu_work_ms,10,1424.23,1424.0033,4.353059691501817,1420.4735,1426.66275,1417.953,1431.2160000000001
RM_VECTOR,20,8,split_input_setup_ms,10,295.66200000000003,294.3316,3.6492958285735724,290.386,297.456,289.74499999999995,298.344
