method,base_ot_mode,logN,m,metric,count,median,mean,stddev,q25,q75,min,max
VECTOR_PPRF,PREPROCESSED_OT,20,8,pprf_only_time_ms,10,515.077,514.9713,1.022828436792326,513.9780000000001,515.86825,513.738,516.42
VECTOR_PPRF,PREPROCESSED_OT,20,8,pprf_setup_bytes,10,147200.0,147200.0,0.0,147200.0,147200.0,147200.0,147200.0
VECTOR_PPRF,PREPROCESSED_OT,20,8,total_comm_bytes,10,147200.0,147200.0,0.0,147200.0,147200.0,147200.0,147200.0
VECTOR_PPRF,PREPROCESSED_OT,20,16,key_setup_wall_ms,10,841.0169999999999,840.9184,3.3264488305431863,838.483,843.2217499999999,836.1410000000001,847.088
VECTOR_PPRF,PREPROCESSED_OT,20,16,pprf_only_time_ms,10,841.0169999999999,840.9184,3.3264488305431863,838.483,843.2217499999999,836.1410000000001,847.088
VECTOR_PPRF,PREPROCESSED_OT,20,16,pprf_setup_bytes,10,179968.0,179968.0,0.0,179968.0,179968.0,179968.0,179968.0
VECTOR_PPRF,PREPROCESSED_OT,20,16,total_comm_bytes,10,179968.0,179968.0,0.0,179968.0,179968.0,179968.0,179968.0
VECTOR_PPRF,PREPROCESSED_OT,20,32,key_setup_wall_ms,10,1490.1394999999998,1492.9579,12.065005359394654,1483.20325,1504.35725,1477.4640000000002,1509.447
VECTOR_PPRF,PREPROCESSED_OT,20,32,pprf_only_time_ms,10,1490.1394999999998,1492.9579,12.065005359394654,1483.20325,1504.35725,1477.4640000000002,1509.447
VECTOR_PPRF,PREPROCESSED_OT,20,32,pprf_setup_bytes,10,245504.0,245504.0,0.0,245504.0,245504.0,245504.0,245504.0
VECTOR_PPRF,PREPROCESSED_OT,20,32,total_comm_bytes,10,245504.0,245504.0,0.0,245504.0,245504.0,245504.0,245504.0
