method,logN,m,metric,count,median,mean,stddev,min,max,table,network_profile
RM_VECTOR_OPT,14,32,total_wall_ms,10,140.808,140.89350000000002,1.794491975462697,136.992,144.954,network_runtime,FAST
RM_VECTOR_OPT,14,32,total_comm_bytes,10,4571744.0,4571744.0,0.0,4571744.0,4571744.0,network_runtime,FAST
RM_VECTOR_OPT,14,8,total_wall_ms,10,105.4625,105.769,1.0742828305432408,104.95500000000001,108.874,network_runtime,FAST
RM_VECTOR_OPT,14,8,total_comm_bytes,10,1475168.0,1475168.0,0.0,1475168.0,1475168.0,network_runtime,FAST
RM_VECTOR_OPT,16,16,total_wall_ms,10,180.632,180.5363,2.3008953496410895,176.719,185.122,network_runtime,FAST
RM_VECTOR_OPT,16,16,total_comm_bytes,10,2524256.0,2524256.0,0.0,2524256.0,2524256.0,network_runtime,FAST
RM_VECTOR_OPT,16,32,total_wall_ms,10,230.75849999999997,231.1534,2.931134838249514,226.993,237.64,network_runtime,FAST
RM_VECTOR_OPT,16,32,total_comm_bytes,10,4588640.0,4588640.0,0.0,4588640.0,4588640.0,network_runtime,FAST
RM_VECTOR_OPT,16,8,total_wall_ms,10,150.85500000000002,151.0727,0.8946724596186044,149.72,152.642,network_runtime,FAST
RM_VECTOR_OPT,16,8,total_comm_bytes,10,1492064.0,1492064.0,0.0,1492064.0,1492064.0,network_runtime,FAST
RM_VECTOR_OPT,18,16,total_wall_ms,10,387.30100000000004,388.1082,3.928645410316376,383.514,395.337,network_runtime,FAST
RM_VECTOR_OPT,18,16,total_comm_bytes,10,2541152.0,2541152.0,0.0,2541152.0,2541152.0,network_runtime,FAST
RM_VECTOR_OPT,18,32,total_wall_ms,10,615.81,620.6654,13.520798661321736,607.931,652.01,network_runtime,FAST
RM_VECTOR_OPT,18,32,total_comm_bytes,10,4605536.0,4605536.0,0.0,4605536.0,4605536.0,network_runtime,FAST
RM_VECTOR_OPT,18,8,total_wall_ms,10,263.5245,273.5793,31.58695629227357,256.904,367.92900000000003,network_runtime,FAST
RM_VECTOR_OPT,18,8,total_comm_bytes,10,1508960.0,1508960.0,0.0,1508960.0,1508960.0,network_runtime,FAST
RM_VECTOR_OPT,20,16,total_wall_ms,10,1226.4074999999998,1227.5735,2.816589045281557,1224.1979999999999,1233.344,network_runtime,FAST
RM_VECTOR_OPT,20,16,total_comm_bytes,10,2558048.0,2558048.0,0.0,2558048.0,2558048.0,network_runtime,FAST
RM_VECTOR_OPT,20,32,total_wall_ms,10,2367.2995,2373.2924000000003,8.662457032505289,2365.218,2387.842,network_runtime,FAST
RM_VECTOR_OPT,20,32,total_comm_bytes,10,4622432.0,4622432.0,0.0,4622432.0,4622432.0,network_runtime,FAST
RM_VECTOR_OPT,20,8,total_wall_ms,10,680.389,695.679,38.11094406860055,677.111,806.165,network_runtime,FAST
RM_VECTOR_OPT,20,8,total_comm_bytes,10,1525856.0,1525856.0,0.0,1525856.0,1525856.0,network_runtime,FAST
SILENT_SVOLE,14,16,total_wall_ms,10,641.696,641.5371,1.1817291948665423,639.9110000000001,643.5999999999999,network_runtime,FAST
SILENT_SVOLE,14,16,total_comm_bytes,10,32785160.0,32785160.0,0.0,32785160.0,32785160.0,network_runtime,FAST
SILENT_SVOLE,14,32,total_wall_ms,10,1331.614,1330.6024,2.5636623100556926,1325.634,1333.489,network_runtime,FAST
SILENT_SVOLE,14,32,total_comm_bytes,10,130462472.0,130462472.0,0.0,130462472.0,130462472.0,network_runtime,FAST
SILENT_SVOLE,14,8,total_wall_ms,10,464.99649999999997,465.06399999999996,0.3976116195485208,464.409,465.941,network_runtime,FAST
SILENT_SVOLE,14,8,total_comm_bytes,10,8325896.0,8325896.0,0.0,8325896.0,8325896.0,network_runtime,FAST
SILENT_SVOLE,16,16,total_wall_ms,10,767.0215,767.7063,1.6032722195560005,766.225,771.331,network_runtime,FAST
SILENT_SVOLE,16,16,total_comm_bytes,10,32816904.0,32816904.0,0.0,32816904.0,32816904.0,network_runtime,FAST
SILENT_SVOLE,16,32,total_wall_ms,10,1335.286,1334.7935,1.749425519992238,1331.623,1336.8660000000002,network_runtime,FAST
SILENT_SVOLE,16,32,total_comm_bytes,10,130494216.0,130494216.0,0.0,130494216.0,130494216.0,network_runtime,FAST
SILENT_SVOLE,16,8,total_wall_ms,10,602.09,602.3679,1.9973055574948977,600.482,607.395,network_runtime,FAST
SILENT_SVOLE,16,8,total_comm_bytes,10,8357640.0,8357640.0,0.0,8357640.0,8357640.0,network_runtime,FAST
