tag,status_token,method,encoder,logN,N,m,trial_index,warmup,requested_N,generated_N,code_size,base_field_wht_s,coordinate_wht_m_s,pointwise_ops_s,output_materialization_s,total_s,ns_per_rm_vole_coordinate,ns_per_base_field_matrix_entry,notes,timestamp,benchmark_source_commit,status,base_field_encoder_ms,coordinate_encoder_ms,pointwise_ops_ms,output_materialization_ms,total_ms
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,16,0,1,4096,4096,4096,0.000036,0.000534,0.000194,0.000024,0.000789,192.564244,12.035265,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.273591+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.036000000000000004,0.5339999999999999,0.194,0.024,0.789
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,16,0,0,4096,4096,4096,0.000032,0.000521,0.000194,0.000023,0.000771,188.159106,11.759944,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.273632+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,0.521,0.194,0.023,0.771
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,16,1,0,4096,4096,4096,0.000032,0.000519,0.000202,0.000023,0.000776,189.532784,11.845799,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.273648+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,0.519,0.202,0.023,0.776
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,16,2,0,4096,4096,4096,0.000032,0.000528,0.000194,0.000024,0.000778,189.981733,11.873858,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.273669+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,0.528,0.194,0.024,0.778
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,16,3,0,4096,4096,4096,0.000032,0.000524,0.000194,0.000023,0.000774,188.853051,11.803316,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.273684+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,0.524,0.194,0.023,0.7739999999999999
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,16,4,0,4096,4096,4096,0.000032,0.000526,0.000195,0.000023,0.000776,189.447292,11.840456,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.273697+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,0.526,0.195,0.023,0.776
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,16,5,0,4096,4096,4096,0.000032,0.000548,0.000194,0.000023,0.000797,194.699737,12.168734,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.273711+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,0.5479999999999999,0.194,0.023,0.7969999999999999
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,16,6,0,4096,4096,4096,0.000032,0.000517,0.000205,0.000024,0.000779,190.122250,11.882641,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.273725+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,0.517,0.205,0.024,0.7789999999999999
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,16,7,0,4096,4096,4096,0.000032,0.000519,0.000203,0.000023,0.000778,189.885213,11.867826,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.273740+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,0.519,0.203,0.023,0.778
ENCODER_ONLY_BENCH,PASS,WHT_ENCODER,WHT,12,4096,16,8,0,4096,4096,4096,0.000032,0.000558,0.000195,0.000023,0.000809,197.440158,12.340010,encoder_only; no_PPRF_setup; no_base_correlations; base_field_WHT_plus_m_coordinate_WHTs,2026-07-26T07:46:01.273753+00:00,56a80d12dc147c6f4d9452798d88f387cd1c778b,OK,0.032,0.558,0.195,0.023,0.809
