network_profile,network_label,method,logN,m,metric,count,median,mean,stddev,min,max
FAST,emulated TCP network,RM_VECTOR_OPT,18,16,total_wall_ms,10,387.30100000000004,388.1082,3.928645410316376,383.514,395.337
FAST,emulated TCP network,RM_VECTOR_OPT,18,16,total_comm_bytes,10,2541152.0,2541152.0,0.0,2541152.0,2541152.0
FAST,emulated TCP network,RM_VECTOR_OPT,18,16,split_input_phase_wall_ms,10,35.306,35.356899999999996,0.19036567442687757,35.175,35.763999999999996
FAST,emulated TCP network,RM_VECTOR_OPT,18,32,total_wall_ms,10,615.81,620.6654,13.520798661321736,607.931,652.01
FAST,emulated TCP network,RM_VECTOR_OPT,18,32,total_comm_bytes,10,4605536.0,4605536.0,0.0,4605536.0,4605536.0
FAST,emulated TCP network,RM_VECTOR_OPT,18,32,split_input_phase_wall_ms,10,40.9315,42.1121,3.585282149287556,40.785000000000004,52.863
FAST,emulated TCP network,RM_VECTOR_OPT,18,8,total_wall_ms,10,263.5245,273.5793,31.58695629227357,256.904,367.92900000000003
FAST,emulated TCP network,RM_VECTOR_OPT,18,8,total_comm_bytes,10,1508960.0,1508960.0,0.0,1508960.0,1508960.0
FAST,emulated TCP network,RM_VECTOR_OPT,18,8,split_input_phase_wall_ms,10,32.26,33.0048,1.9974512659887353,32.059999999999995,38.93
FAST,emulated TCP network,RM_VECTOR_OPT,20,16,total_wall_ms,10,1226.4074999999998,1227.5735,2.816589045281557,1224.1979999999999,1233.344
FAST,emulated TCP network,RM_VECTOR_OPT,20,16,total_comm_bytes,10,2558048.0,2558048.0,0.0,2558048.0,2558048.0
FAST,emulated TCP network,RM_VECTOR_OPT,20,16,split_input_phase_wall_ms,10,35.426500000000004,35.4483,0.12791798153504455,35.288,35.632
FAST,emulated TCP network,RM_VECTOR_OPT,20,32,total_wall_ms,10,2367.2995,2373.2924000000003,8.662457032505289,2365.218,2387.842
FAST,emulated TCP network,RM_VECTOR_OPT,20,32,total_comm_bytes,10,4622432.0,4622432.0,0.0,4622432.0,4622432.0
FAST,emulated TCP network,RM_VECTOR_OPT,20,32,split_input_phase_wall_ms,10,40.879000000000005,40.9256,0.1010358352269135,40.799,41.113
FAST,emulated TCP network,RM_VECTOR_OPT,20,8,total_wall_ms,10,680.389,695.679,38.11094406860055,677.111,806.165
FAST,emulated TCP network,RM_VECTOR_OPT,20,8,total_comm_bytes,10,1525856.0,1525856.0,0.0,1525856.0,1525856.0
FAST,emulated TCP network,RM_VECTOR_OPT,20,8,split_input_phase_wall_ms,10,32.4835,32.8916,1.2707370459697795,32.25,36.679
FAST,emulated TCP network,SILENT_SVOLE,14,16,total_wall_ms,10,641.696,641.5371,1.1817291948665423,639.9110000000001,643.5999999999999
FAST,emulated TCP network,SILENT_SVOLE,14,16,total_comm_bytes,10,32785160.0,32785160.0,0.0,32785160.0,32785160.0
FAST,emulated TCP network,SILENT_SVOLE,14,16,split_input_phase_wall_ms,10,0.0,0.0,0.0,0.0,0.0
FAST,emulated TCP network,SILENT_SVOLE,14,32,total_wall_ms,10,1331.614,1330.6024,2.5636623100556926,1325.634,1333.489
FAST,emulated TCP network,SILENT_SVOLE,14,32,total_comm_bytes,10,130462472.0,130462472.0,0.0,130462472.0,130462472.0
FAST,emulated TCP network,SILENT_SVOLE,14,32,split_input_phase_wall_ms,10,0.0,0.0,0.0,0.0,0.0
FAST,emulated TCP network,SILENT_SVOLE,14,8,total_wall_ms,10,464.99649999999997,465.06399999999996,0.3976116195485208,464.409,465.941
FAST,emulated TCP network,SILENT_SVOLE,14,8,total_comm_bytes,10,8325896.0,8325896.0,0.0,8325896.0,8325896.0
